scenario_id,pool,topology,conflict_edge_count,relation,old_full_success,old_collision,old_unresolved,old_timeout,old_steps,old_interaction_share,old_interaction_segments,old_mean_linear,old_mean_abs_angular,old_mean_progress,old_mean_nearest,old_high_speed_close_rate,old_negative_progress_rate,old_stagnant_rate,old_multi_local_rate,old_max_concurrent_interaction,ie2_full_success,ie2_collision,ie2_unresolved,ie2_timeout,ie2_steps,ie2_interaction_share,ie2_interaction_segments,ie2_mean_linear,ie2_mean_abs_angular,ie2_mean_progress,ie2_mean_nearest,ie2_high_speed_close_rate,ie2_negative_progress_rate,ie2_stagnant_rate,ie2_multi_local_rate,ie2_max_concurrent_interaction
standard-20260717006440-3da760283004,standard,zero,0,tied,1,0,0,0,14,0.0,0,,,,,0.0,0.0,0.0,0.0,0,1,0,0,0,13,0.0,0,,,,,0.0,0.0,0.0,0.0,0
dense-20260718008853-cd3061240ea3,dense,edge1,1,tied,1,0,0,0,17,0.0,0,,,,,0.0,0.0,0.0,0.0,0,1,0,0,0,18,0.0,0,,,,,0.0,0.0,0.0,0.0,0
dense-20260718008373-f0de0a37adec,dense,multi,3,tied,0,1,0,0,21,0.0,0,,,,,0.0,0.0,0.0,0.0,0,0,0,1,1,300,0.09668508287292818,3,0.003915975775037493,0.1864566088221701,0.0006581929076075688,0.8997168278294756,0.0,0.34285714285714286,0.9142857142857143,0.0,1
standard-20260717006996-8ade791269ee,standard,zero,0,tied,1,0,0,0,10,0.0,0,,,,,0.0,0.0,0.0,0.0,0,1,0,0,0,11,0.0,0,,,,,0.0,0.0,0.0,0.0,0
dense-20260718008584-462d8fe08c02,dense,multi,3,ie2_degraded,1,0,0,0,25,0.038461538461538464,1,0.08969111243883769,0.5812249879042307,0.012096263384506237,1.0172787710595992,0.0,0.3333333333333333,0.3333333333333333,1.0,1,0,1,0,0,20,0.046153846153846156,1,0.32441772023836773,0.636119415362676,0.028500279398899875,0.8164840223738766,0.3333333333333333,0.0,0.0,1.0,1
standard-20260717006438-b50a7a5fde19,standard,zero,0,tied,1,0,0,0,12,0.0,0,,,,,0.0,0.0,0.0,0.0,0,1,0,0,0,13,0.0,0,,,,,0.0,0.0,0.0,0.0,0
dense-20260718009100-d654906a6c5c,dense,multi,4,tied,0,1,0,0,35,0.0,0,,,,,0.0,0.0,0.0,0.0,0,0,2,1,1,300,0.6470588235294118,17,0.011074095080963707,0.8724760759912666,0.0007817261950550533,0.9099188172859919,0.0,0.4901185770750988,0.9090909090909091,0.0,1
standard-20260717006828-c5520a68b10a,standard,zero,0,tied,1,0,0,0,22,0.0,0,,,,,0.0,0.0,0.0,0.0,0,1,0,0,0,25,0.0,0,,,,,0.0,0.0,0.0,0.0,0
standard-20260717006945-7cb2063d0197,standard,multi,2,tied,1,0,0,0,30,0.05217391304347826,2,0.4975394109884898,0.9800103108088175,0.03145260990857943,2.2277368516099294,0.16666666666666666,0.0,0.16666666666666666,0.5,1,1,0,0,0,33,0.031914893617021274,1,0.20346583550175032,0.5820857832829157,0.019791913533201273,0.8350190428163652,0.0,0.0,0.3333333333333333,0.6666666666666666,1
dense-20260718009195-0fe728db2b70,dense,edge1,1,tied,1,0,0,0,19,0.0,0,,,,,0.0,0.0,0.0,0.0,0,1,0,0,0,16,0.0625,1,0.45987064639727276,0.4223799792428811,0.03724872262719418,0.7244357080139954,0.0,0.0,0.3333333333333333,0.0,1
