seed,episode,scenario_id,robot,full_success,active_steps,first_mode,last_mode,first_probability,mean_probability,visible_switches,controller_switches,run_signature,run_lengths
20260910,14,dense-20260718009701-d763e0fcf8b8,r2,1,11,dense,dense,0.8203232884407043,0.9148414514281533,0,1,dense,dense:11
20260910,14,dense-20260718009701-d763e0fcf8b8,r3,1,5,dense,dense,0.7470704913139343,0.5755613148212433,0,1,dense,dense:5
20260910,14,dense-20260718009701-d763e0fcf8b8,r4,1,5,dense,dense,0.5773332715034485,0.7851310133934021,0,1,dense,dense:5
20260910,14,dense-20260718009701-d763e0fcf8b8,r5,1,5,dense,dense,0.75278639793396,0.7016059577465057,0,1,dense,dense:5
20260910,15,dense-20260718009736-fd4b37cee9b2,r1,0,9,dense,standard,0.6002256870269775,0.4118594518966145,1,2,dense -> standard,dense:6;standard:3
20260910,15,dense-20260718009736-fd4b37cee9b2,r2,0,7,dense,dense,0.9397521018981934,0.9602210606847491,0,1,dense,dense:7
20260910,15,dense-20260718009736-fd4b37cee9b2,r3,0,8,dense,dense,0.6820114254951477,0.6739305853843689,0,1,dense,dense:8
20260910,15,dense-20260718009736-fd4b37cee9b2,r4,0,31,dense,standard,0.8085949420928955,0.3984878696501255,1,2,dense -> standard,dense:14;standard:17
20260910,15,dense-20260718009736-fd4b37cee9b2,r5,0,12,dense,dense,0.8625794053077698,0.7347432573636373,0,1,dense,dense:12
20260910,16,dense-20260718009752-45c159191e0b,r1,0,8,dense,dense,0.9406490921974182,0.9348137676715851,0,1,dense,dense:8
20260910,16,dense-20260718009752-45c159191e0b,r2,0,13,dense,standard,0.458822101354599,0.4264589777359596,1,2,dense -> standard,dense:12;standard:1
20260910,16,dense-20260718009752-45c159191e0b,r3,0,7,dense,dense,0.6728906631469727,0.6018121668270656,0,1,dense,dense:7
20260910,16,dense-20260718009752-45c159191e0b,r4,0,11,standard,dense,0.36984094977378845,0.7009586204182018,1,1,standard -> dense,standard:2;dense:9
20260910,16,dense-20260718009752-45c159191e0b,r5,0,5,dense,dense,0.6211163997650146,0.5199559688568115,0,1,dense,dense:5
20260910,17,dense-20260718009864-44fb8f6d6e09,r1,1,25,dense,standard,0.7247455716133118,0.5184475404024124,1,2,dense -> standard,dense:16;standard:9
